tariffCode,nico,authority,type,title,condition,mandatory,sourceUrl,sourceVersion,validFrom,validTo,notes
3001.20.03,,SS,PERMIT,Registro Sanitario COFEPRIS / Permiso Sanitario Previo de Importación,Medicamentos y preparaciones farmacéuticas para uso humano,true,https://www.gob.mx/cofepris/documentos/bases-de-datos-de-licencias-sanitarias-de-insumos-para-la-salud,COFEPRIS-2026-DOF,2026-01-01,,Regulación Sanitaria COFEPRIS
3001.20.04,,SS,PERMIT,Registro Sanitario COFEPRIS / Permiso Sanitario Previo de Importación,Medicamentos y preparaciones farmacéuticas para uso humano,true,https://www.gob.mx/cofepris/documentos/bases-de-datos-de-licencias-sanitarias-de-insumos-para-la-salud,COFEPRIS-2026-DOF,2026-01-01,,Regulación Sanitaria COFEPRIS
3001.20.05,,SS,PERMIT,Registro Sanitario COFEPRIS / Permiso Sanitario Previo de Importación,Medicamentos y preparaciones farmacéuticas para uso humano,true,https://www.gob.mx/cofepris/documentos/bases-de-datos-de-licencias-sanitarias-de-insumos-para-la-salud,COFEPRIS-2026-DOF,2026-01-01,,Regulación Sanitaria COFEPRIS
3001.20.06,,SS,PERMIT,Registro Sanitario COFEPRIS / Permiso Sanitario Previo de Importación,Medicamentos y preparaciones farmacéuticas para uso humano,true,https://www.gob.mx/cofepris/documentos/bases-de-datos-de-licencias-sanitarias-de-insumos-para-la-salud,COFEPRIS-2026-DOF,2026-01-01,,Regulación Sanitaria COFEPRIS
3001.20.99,,SS,PERMIT,Registro Sanitario COFEPRIS / Permiso Sanitario Previo de Importación,Medicamentos y preparaciones farmacéuticas para uso humano,true,https://www.gob.mx/cofepris/documentos/bases-de-datos-de-licencias-sanitarias-de-insumos-para-la-salud,COFEPRIS-2026-DOF,2026-01-01,,Regulación Sanitaria COFEPRIS
3001.90.01,,SS,PERMIT,Registro Sanitario COFEPRIS / Permiso Sanitario Previo de Importación,Medicamentos y preparaciones farmacéuticas para uso humano,true,https://www.gob.mx/cofepris/documentos/bases-de-datos-de-licencias-sanitarias-de-insumos-para-la-salud,COFEPRIS-2026-DOF,2026-01-01,,Regulación Sanitaria COFEPRIS
3001.90.03,,SS,PERMIT,Registro Sanitario COFEPRIS / Permiso Sanitario Previo de Importación,Medicamentos y preparaciones farmacéuticas para uso humano,true,https://www.gob.mx/cofepris/documentos/bases-de-datos-de-licencias-sanitarias-de-insumos-para-la-salud,COFEPRIS-2026-DOF,2026-01-01,,Regulación Sanitaria COFEPRIS
3001.90.04,,SS,PERMIT,Registro Sanitario COFEPRIS / Permiso Sanitario Previo de Importación,Medicamentos y preparaciones farmacéuticas para uso humano,true,https://www.gob.mx/cofepris/documentos/bases-de-datos-de-licencias-sanitarias-de-insumos-para-la-salud,COFEPRIS-2026-DOF,2026-01-01,,Regulación Sanitaria COFEPRIS
3001.90.05,,SS,PERMIT,Registro Sanitario COFEPRIS / Permiso Sanitario Previo de Importación,Medicamentos y preparaciones farmacéuticas para uso humano,true,https://www.gob.mx/cofepris/documentos/bases-de-datos-de-licencias-sanitarias-de-insumos-para-la-salud,COFEPRIS-2026-DOF,2026-01-01,,Regulación Sanitaria COFEPRIS
3001.90.06,,SS,PERMIT,Registro Sanitario COFEPRIS / Permiso Sanitario Previo de Importación,Medicamentos y preparaciones farmacéuticas para uso humano,true,https://www.gob.mx/cofepris/documentos/bases-de-datos-de-licencias-sanitarias-de-insumos-para-la-salud,COFEPRIS-2026-DOF,2026-01-01,,Regulación Sanitaria COFEPRIS
