ius,rubro,texto,tribunal,sourceUrl,sourceVersion,publicationDate,tariffCode
2024101,CLASIFICACIÓN ARANCELARIA. NOTAS EXPLICATIVAS DE LA LIGIE.,"Las Notas Explicativas de la Tarifa Arancelaria constituyen la interpretación oficial y auténtica del Sistema Armonizado de Designación y Codificación de Mercancías, emanadas de la Organización Mundial de Aduanas, y resultan de observancia obligatoria para determinar el alcance y significado de las partidas y subpartidas arancelarias.",Segunda Sala de la Suprema Corte de Justicia de la Nación,https://sjf2.scjn.gob.mx/detalle/tesis/2024101,SJF-10a-Epoca-2024,2024-03-15,8401.10.01
2024101,CLASIFICACIÓN ARANCELARIA. NOTAS EXPLICATIVAS DE LA LIGIE.,"Las Notas Explicativas de la Tarifa Arancelaria constituyen la interpretación oficial y auténtica del Sistema Armonizado de Designación y Codificación de Mercancías, emanadas de la Organización Mundial de Aduanas, y resultan de observancia obligatoria para determinar el alcance y significado de las partidas y subpartidas arancelarias.",Segunda Sala de la Suprema Corte de Justicia de la Nación,https://sjf2.scjn.gob.mx/detalle/tesis/2024101,SJF-10a-Epoca-2024,2024-03-15,8401.20.01
2024101,CLASIFICACIÓN ARANCELARIA. NOTAS EXPLICATIVAS DE LA LIGIE.,"Las Notas Explicativas de la Tarifa Arancelaria constituyen la interpretación oficial y auténtica del Sistema Armonizado de Designación y Codificación de Mercancías, emanadas de la Organización Mundial de Aduanas, y resultan de observancia obligatoria para determinar el alcance y significado de las partidas y subpartidas arancelarias.",Segunda Sala de la Suprema Corte de Justicia de la Nación,https://sjf2.scjn.gob.mx/detalle/tesis/2024101,SJF-10a-Epoca-2024,2024-03-15,8401.30.01
2024101,CLASIFICACIÓN ARANCELARIA. NOTAS EXPLICATIVAS DE LA LIGIE.,"Las Notas Explicativas de la Tarifa Arancelaria constituyen la interpretación oficial y auténtica del Sistema Armonizado de Designación y Codificación de Mercancías, emanadas de la Organización Mundial de Aduanas, y resultan de observancia obligatoria para determinar el alcance y significado de las partidas y subpartidas arancelarias.",Segunda Sala de la Suprema Corte de Justicia de la Nación,https://sjf2.scjn.gob.mx/detalle/tesis/2024101,SJF-10a-Epoca-2024,2024-03-15,8401.40.01
2024101,CLASIFICACIÓN ARANCELARIA. NOTAS EXPLICATIVAS DE LA LIGIE.,"Las Notas Explicativas de la Tarifa Arancelaria constituyen la interpretación oficial y auténtica del Sistema Armonizado de Designación y Codificación de Mercancías, emanadas de la Organización Mundial de Aduanas, y resultan de observancia obligatoria para determinar el alcance y significado de las partidas y subpartidas arancelarias.",Segunda Sala de la Suprema Corte de Justicia de la Nación,https://sjf2.scjn.gob.mx/detalle/tesis/2024101,SJF-10a-Epoca-2024,2024-03-15,8402.11.01
2024101,CLASIFICACIÓN ARANCELARIA. NOTAS EXPLICATIVAS DE LA LIGIE.,"Las Notas Explicativas de la Tarifa Arancelaria constituyen la interpretación oficial y auténtica del Sistema Armonizado de Designación y Codificación de Mercancías, emanadas de la Organización Mundial de Aduanas, y resultan de observancia obligatoria para determinar el alcance y significado de las partidas y subpartidas arancelarias.",Segunda Sala de la Suprema Corte de Justicia de la Nación,https://sjf2.scjn.gob.mx/detalle/tesis/2024101,SJF-10a-Epoca-2024,2024-03-15,8402.12.01
2024101,CLASIFICACIÓN ARANCELARIA. NOTAS EXPLICATIVAS DE LA LIGIE.,"Las Notas Explicativas de la Tarifa Arancelaria constituyen la interpretación oficial y auténtica del Sistema Armonizado de Designación y Codificación de Mercancías, emanadas de la Organización Mundial de Aduanas, y resultan de observancia obligatoria para determinar el alcance y significado de las partidas y subpartidas arancelarias.",Segunda Sala de la Suprema Corte de Justicia de la Nación,https://sjf2.scjn.gob.mx/detalle/tesis/2024101,SJF-10a-Epoca-2024,2024-03-15,8402.19.01
2024101,CLASIFICACIÓN ARANCELARIA. NOTAS EXPLICATIVAS DE LA LIGIE.,"Las Notas Explicativas de la Tarifa Arancelaria constituyen la interpretación oficial y auténtica del Sistema Armonizado de Designación y Codificación de Mercancías, emanadas de la Organización Mundial de Aduanas, y resultan de observancia obligatoria para determinar el alcance y significado de las partidas y subpartidas arancelarias.",Segunda Sala de la Suprema Corte de Justicia de la Nación,https://sjf2.scjn.gob.mx/detalle/tesis/2024101,SJF-10a-Epoca-2024,2024-03-15,8402.19.99
2024101,CLASIFICACIÓN ARANCELARIA. NOTAS EXPLICATIVAS DE LA LIGIE.,"Las Notas Explicativas de la Tarifa Arancelaria constituyen la interpretación oficial y auténtica del Sistema Armonizado de Designación y Codificación de Mercancías, emanadas de la Organización Mundial de Aduanas, y resultan de observancia obligatoria para determinar el alcance y significado de las partidas y subpartidas arancelarias.",Segunda Sala de la Suprema Corte de Justicia de la Nación,https://sjf2.scjn.gob.mx/detalle/tesis/2024101,SJF-10a-Epoca-2024,2024-03-15,8402.20.01
2024101,CLASIFICACIÓN ARANCELARIA. NOTAS EXPLICATIVAS DE LA LIGIE.,"Las Notas Explicativas de la Tarifa Arancelaria constituyen la interpretación oficial y auténtica del Sistema Armonizado de Designación y Codificación de Mercancías, emanadas de la Organización Mundial de Aduanas, y resultan de observancia obligatoria para determinar el alcance y significado de las partidas y subpartidas arancelarias.",Segunda Sala de la Suprema Corte de Justicia de la Nación,https://sjf2.scjn.gob.mx/detalle/tesis/2024101,SJF-10a-Epoca-2024,2024-03-15,8402.90.01
