tariffCode,authority,requirementType,title,description,sourceUrl,sourceVersion,validFrom,validTo,mandatory,notes
0000.00.00,SENASICA,AUTORIZACION_SANITARIA,Top Dog Nutrition Adultos,,https://www.datos.gob.mx/dataset/productos_alimenticios,SENASICA-productos_alimenticios-2025,2025-01-01,,true,
0000.00.00,SENASICA,AUTORIZACION_SANITARIA,Bravery Iberian Pork Adult Small Breeds,,https://www.datos.gob.mx/dataset/productos_alimenticios,SENASICA-productos_alimenticios-2025,2025-01-01,,true,
0000.00.00,SENASICA,AUTORIZACION_SANITARIA,Pmx Ini Pollo Sp V6,,https://www.datos.gob.mx/dataset/productos_alimenticios,SENASICA-productos_alimenticios-2025,2025-01-01,,true,
0000.00.00,SENASICA,AUTORIZACION_SANITARIA,Nutrition Premim Plus Cachorros Razas Pequeñas,,https://www.datos.gob.mx/dataset/productos_alimenticios,SENASICA-productos_alimenticios-2025,2025-01-01,,true,
0000.00.00,SENASICA,AUTORIZACION_SANITARIA,Nutrition Premium Plus Adulto Razas Medianas & Grandes,,https://www.datos.gob.mx/dataset/productos_alimenticios,SENASICA-productos_alimenticios-2025,2025-01-01,,true,
0000.00.00,SENASICA,AUTORIZACION_SANITARIA,Nutrition Premium Plus Cachorro Razas Medianas & Grandes,,https://www.datos.gob.mx/dataset/productos_alimenticios,SENASICA-productos_alimenticios-2025,2025-01-01,,true,
0000.00.00,SENASICA,AUTORIZACION_SANITARIA,Nutrition Premium Plus Adulto Razas Pequeñas,,https://www.datos.gob.mx/dataset/productos_alimenticios,SENASICA-productos_alimenticios-2025,2025-01-01,,true,
0000.00.00,SENASICA,AUTORIZACION_SANITARIA,Bx Booster,,https://www.datos.gob.mx/dataset/productos_alimenticios,SENASICA-productos_alimenticios-2025,2025-01-01,,true,
0000.00.00,SENASICA,AUTORIZACION_SANITARIA,Premix Postura,,https://www.datos.gob.mx/dataset/productos_alimenticios,SENASICA-productos_alimenticios-2025,2025-01-01,,true,
0000.00.00,SENASICA,AUTORIZACION_SANITARIA,Premix Inicio Pollo,,https://www.datos.gob.mx/dataset/productos_alimenticios,SENASICA-productos_alimenticios-2025,2025-01-01,,true,
0000.00.00,SENASICA,AUTORIZACION_SANITARIA,Premix Crianza Polla,,https://www.datos.gob.mx/dataset/productos_alimenticios,SENASICA-productos_alimenticios-2025,2025-01-01,,true,
0000.00.00,SENASICA,AUTORIZACION_SANITARIA,Vistacell,,https://www.datos.gob.mx/dataset/productos_alimenticios,SENASICA-productos_alimenticios-2025,2025-01-01,,true,
0000.00.00,SENASICA,AUTORIZACION_SANITARIA,Vistabet 96%,,https://www.datos.gob.mx/dataset/productos_alimenticios,SENASICA-productos_alimenticios-2025,2025-01-01,,true,
0000.00.00,SENASICA,AUTORIZACION_SANITARIA,Vistapre-T,,https://www.datos.gob.mx/dataset/productos_alimenticios,SENASICA-productos_alimenticios-2025,2025-01-01,,true,
0000.00.00,SENASICA,AUTORIZACION_SANITARIA,Toxybind Perfect,,https://www.datos.gob.mx/dataset/productos_alimenticios,SENASICA-productos_alimenticios-2025,2025-01-01,,true,
0000.00.00,SENASICA,AUTORIZACION_SANITARIA,Enzapro,,https://www.datos.gob.mx/dataset/productos_alimenticios,SENASICA-productos_alimenticios-2025,2025-01-01,,true,
0000.00.00,SENASICA,AUTORIZACION_SANITARIA,Optimizor Basting 30,,https://www.datos.gob.mx/dataset/productos_alimenticios,SENASICA-productos_alimenticios-2025,2025-01-01,,true,
0000.00.00,SENASICA,AUTORIZACION_SANITARIA,Juguetes de Carnaza Para Perro Naturales,,https://www.datos.gob.mx/dataset/productos_alimenticios,SENASICA-productos_alimenticios-2025,2025-01-01,,true,
0000.00.00,SENASICA,AUTORIZACION_SANITARIA,Juguetes de Carnaza Para Perro Extruido,,https://www.datos.gob.mx/dataset/productos_alimenticios,SENASICA-productos_alimenticios-2025,2025-01-01,,true,
0000.00.00,SENASICA,AUTORIZACION_SANITARIA,Hide Free,,https://www.datos.gob.mx/dataset/productos_alimenticios,SENASICA-productos_alimenticios-2025,2025-01-01,,true,
0000.00.00,SENASICA,AUTORIZACION_SANITARIA,Hide Free Con Pollo,,https://www.datos.gob.mx/dataset/productos_alimenticios,SENASICA-productos_alimenticios-2025,2025-01-01,,true,
0000.00.00,SENASICA,AUTORIZACION_SANITARIA,Coated Beef,,https://www.datos.gob.mx/dataset/productos_alimenticios,SENASICA-productos_alimenticios-2025,2025-01-01,,true,
0000.00.00,SENASICA,AUTORIZACION_SANITARIA,Juguete Vegetal Para Perro,,https://www.datos.gob.mx/dataset/productos_alimenticios,SENASICA-productos_alimenticios-2025,2025-01-01,,true,
0000.00.00,SENASICA,AUTORIZACION_SANITARIA,Chicken Jerky,,https://www.datos.gob.mx/dataset/productos_alimenticios,SENASICA-productos_alimenticios-2025,2025-01-01,,true,
0000.00.00,SENASICA,AUTORIZACION_SANITARIA,Juguete de Carnaza Basteado Sabor Cet,,https://www.datos.gob.mx/dataset/productos_alimenticios,SENASICA-productos_alimenticios-2025,2025-01-01,,true,
